                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5349,                 3.7151,                 3.4205,                0.45111,                0.09659,                0.04855,                0.01767,                 2.6713,                 3.3124,                 2.8424,               0.070065,              0.0033261,              0.0033261
                      1,                 2.3406,                 2.4991,                 2.1811,                0.12118,                0.11014,                0.06064,                0.02727,                 2.1028,                 2.9043,                 2.1497,               0.040043,              0.0066374,              0.0066374
                      2,                 2.0101,                 2.1836,                  1.862,                0.15509,                0.10918,                0.08303,                0.03919,                 2.1168,                 2.6546,                 2.1294,              0.0099993,              0.0099268,              0.0099268
                      3,                 1.8659,                 2.0053,                 1.7207,                 0.6705,                0.16347,                0.15832,                0.07555,                  1.874,                  2.004,                 1.8633,               0.009901,               0.009901,               0.009901
                      4,                 1.7618,                 1.8373,                 1.6236,                0.54957,                0.19286,                0.16077,                0.08086,                 1.7882,                 1.8906,                 1.7739,               0.009901,               0.009901,               0.009901
                      5,                 1.7125,                 1.7286,                 1.5779,                0.25578,                0.24496,                0.20051,                0.10983,                 1.7096,                 1.7161,                 1.7233,               0.009868,               0.009868,               0.009868
                      6,                 1.6748,                 1.6608,                 1.5518,                0.59388,                0.21332,                0.20111,                0.10947,                 1.6836,                 1.7043,                 1.6798,               0.009835,               0.009835,               0.009835
                      7,                 1.6309,                 1.5736,                   1.52,                0.30845,                0.25063,                0.24001,                0.13454,                 1.6406,                 1.5536,                 1.6498,               0.009802,               0.009802,               0.009802
                      8,                 1.6138,                 1.5381,                 1.5118,                0.64271,                0.29403,                0.27852,                0.15898,                 1.6194,                 1.5005,                 1.6153,               0.009769,               0.009769,               0.009769
                      9,                 1.5885,                 1.4876,                 1.4853,                0.52904,                0.31053,                0.30285,                0.18111,                 1.5725,                 1.4797,                 1.6142,               0.009736,               0.009736,               0.009736
                     10,                 1.5745,                 1.4551,                 1.4751,                0.68787,                0.28855,                0.30994,                0.17768,                 1.5608,                 1.4382,                 1.5861,               0.009703,               0.009703,               0.009703
                     11,                 1.5637,                 1.4116,                 1.4624,                0.45144,                0.37115,                0.34691,                0.20686,                  1.546,                 1.4118,                 1.5641,                0.00967,                0.00967,                0.00967
                     12,                  1.538,                 1.3865,                 1.4431,                0.38289,                0.40408,                0.31625,                0.19852,                 1.5246,                  1.369,                 1.5416,               0.009637,               0.009637,               0.009637
                     13,                 1.5272,                 1.3571,                 1.4346,                0.54181,                0.36701,                0.39865,                0.23214,                  1.505,                 1.3277,                 1.5235,               0.009604,               0.009604,               0.009604
                     14,                 1.5118,                 1.3264,                 1.4234,                0.48076,                0.43389,                0.42315,                0.26663,                 1.4831,                 1.3118,                  1.521,               0.009571,               0.009571,               0.009571
