                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6176,                 3.8196,                 3.5091,                0.02419,                 0.0211,                0.00713,                  0.002,                 3.0684,                 3.4951,                 3.4145,               0.070069,              0.0033257,              0.0033257
                      1,                 2.4186,                 2.5606,                 2.2461,                0.48226,                0.10601,                0.09097,                0.04041,                 2.1697,                 2.3624,                 2.2315,               0.040047,               0.006637,               0.006637
                      2,                 2.0356,                 2.2103,                 1.8832,                0.18056,                0.11845,                0.08646,                0.04126,                 2.1625,                 2.8427,                 2.1628,               0.010003,              0.0099264,              0.0099264
                      3,                 1.8868,                 2.0262,                 1.7257,                0.49744,                0.12588,                0.12674,                0.06538,                 1.8693,                 2.0949,                 1.8794,               0.009901,               0.009901,               0.009901
                      4,                 1.7879,                 1.8636,                 1.6351,                0.24582,                0.17792,                0.16161,                0.08375,                 1.7604,                   2.08,                 1.7956,               0.009901,               0.009901,               0.009901
                      5,                 1.7201,                 1.7596,                 1.5826,                0.22048,                0.19754,                0.17282,                0.08866,                 1.8388,                 1.7811,                 1.8108,               0.009868,               0.009868,               0.009868
                      6,                 1.6919,                 1.6729,                 1.5514,                 0.5543,                0.24974,                0.18657,                0.09988,                 1.7346,                 1.6836,                 1.7251,               0.009835,               0.009835,               0.009835
                      7,                 1.6457,                 1.6088,                 1.5184,                0.23288,                0.23394,                0.19312,                0.10553,                 1.6908,                 1.7066,                 1.6979,               0.009802,               0.009802,               0.009802
                      8,                 1.6198,                 1.5466,                 1.5002,                0.59571,                0.23214,                0.20724,                0.10778,                 1.7537,                 1.6835,                 1.7228,               0.009769,               0.009769,               0.009769
                      9,                 1.5968,                 1.5011,                 1.4851,                0.29165,                0.26808,                0.22877,                 0.1245,                   1.69,                 1.5982,                 1.6767,               0.009736,               0.009736,               0.009736
                     10,                 1.5801,                 1.4563,                 1.4696,                0.53881,                0.31283,                0.27324,                0.15973,                 1.6476,                 1.5644,                 1.6439,               0.009703,               0.009703,               0.009703
                     11,                 1.5707,                 1.4244,                 1.4553,                0.50656,                0.29501,                0.29058,                0.16996,                 1.6403,                 1.5197,                 1.6414,                0.00967,                0.00967,                0.00967
                     12,                 1.5539,                 1.3916,                 1.4443,                0.40919,                0.32672,                0.30365,                0.16848,                 1.6409,                 1.5069,                 1.6317,               0.009637,               0.009637,               0.009637
                     13,                 1.5365,                 1.3619,                 1.4353,                 0.3776,                0.31033,                0.27723,                0.16739,                 1.5866,                 1.4965,                 1.5965,               0.009604,               0.009604,               0.009604
                     14,                 1.5249,                 1.3389,                 1.4229,                0.48232,                0.35539,                0.31269,                0.18349,                 1.5834,                   1.46,                 1.6071,               0.009571,               0.009571,               0.009571
                     15,                 1.5104,                 1.3139,                 1.4123,                 0.4754,                0.38689,                0.37298,                0.22754,                 1.5537,                 1.3761,                 1.5639,               0.009538,               0.009538,               0.009538
                     16,                 1.5044,                 1.2979,                 1.4123,                0.58108,                 0.3775,                0.38459,                0.22338,                 1.5626,                 1.3806,                 1.5594,               0.009505,               0.009505,               0.009505
                     17,                 1.4933,                 1.2674,                 1.3917,                0.45799,                 0.4394,                0.37759,                0.23419,                 1.5938,                 1.3807,                  1.582,               0.009472,               0.009472,               0.009472
                     18,                  1.482,                 1.2582,                 1.4006,                0.58506,                0.40939,                0.40425,                0.23937,                  1.576,                 1.3652,                 1.5792,               0.009439,               0.009439,               0.009439
                     19,                 1.4737,                 1.2317,                 1.3827,                0.50197,                 0.4021,                0.38837,                0.23788,                 1.5823,                 1.3407,                  1.587,               0.009406,               0.009406,               0.009406
