                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.599,                 3.8373,                 3.5328,                 0.3629,                0.03504,                0.01185,                0.00373,                   2.96,                 4.0285,                 3.3743,               0.070067,              0.0033259,              0.0033259
                      1,                 2.4155,                  2.569,                  2.263,                0.45568,                0.09399,                0.08498,                0.03986,                 2.0979,                 2.5549,                 2.1828,               0.040045,              0.0066372,              0.0066372
                      2,                 2.0291,                 2.1945,                 1.8786,                0.81931,                0.10773,                 0.1093,                0.04989,                 2.0323,                 2.6375,                 2.0273,               0.010001,              0.0099266,              0.0099266
                      3,                 1.8718,                 2.0183,                 1.7297,                0.16755,                0.13758,                0.14351,                0.07486,                 1.8021,                 1.9172,                 1.8363,               0.009901,               0.009901,               0.009901
                      4,                 1.7759,                 1.8425,                 1.6339,                0.22496,                0.18364,                0.15819,                0.08349,                 1.7813,                 1.8939,                 1.8047,               0.009901,               0.009901,               0.009901
                      5,                 1.7148,                 1.7369,                 1.5915,                0.19088,                0.19274,                0.16181,                0.08229,                 1.7546,                 1.8654,                 1.7835,               0.009868,               0.009868,               0.009868
                      6,                 1.6742,                 1.6484,                 1.5541,                  0.602,                0.20394,                0.20736,                 0.1094,                 1.6958,                 1.6689,                 1.6905,               0.009835,               0.009835,               0.009835
                      7,                 1.6448,                  1.593,                 1.5253,                0.27541,                0.23185,                 0.2105,                0.11346,                 1.6681,                 1.6427,                 1.6924,               0.009802,               0.009802,               0.009802
                      8,                 1.6262,                 1.5553,                 1.5175,                0.58731,                0.26268,                0.23307,                0.12866,                 1.6469,                 1.5979,                 1.6479,               0.009769,               0.009769,               0.009769
                      9,                 1.5986,                  1.499,                 1.4919,                0.36058,                0.29778,                0.26138,                0.14803,                 1.6071,                 1.4805,                 1.6264,               0.009736,               0.009736,               0.009736
                     10,                 1.5791,                 1.4625,                 1.4819,                0.33791,                0.31397,                0.29693,                0.16627,                 1.6258,                 1.5046,                 1.6308,               0.009703,               0.009703,               0.009703
                     11,                 1.5673,                 1.4227,                 1.4634,                 0.3149,                0.34334,                0.28426,                0.16264,                 1.5783,                 1.4587,                  1.596,                0.00967,                0.00967,                0.00967
                     12,                 1.5472,                 1.3773,                 1.4531,                0.64519,                0.30648,                0.28541,                0.17439,                  1.592,                 1.4489,                 1.5998,               0.009637,               0.009637,               0.009637
                     13,                 1.5393,                 1.3648,                 1.4425,                0.51152,                0.42752,                0.38612,                0.23455,                 1.5344,                 1.3818,                 1.5609,               0.009604,               0.009604,               0.009604
                     14,                 1.5196,                 1.3231,                 1.4283,                0.51379,                0.39182,                0.38041,                0.23003,                 1.5491,                   1.36,                 1.5577,               0.009571,               0.009571,               0.009571
                     15,                 1.5124,                 1.3195,                 1.4225,                0.49899,                0.35831,                0.36031,                0.21808,                 1.5196,                 1.3459,                 1.5479,               0.009538,               0.009538,               0.009538
                     16,                  1.508,                 1.2927,                 1.4185,                0.44678,                0.38343,                0.37272,                0.22973,                 1.5037,                 1.3189,                 1.5374,               0.009505,               0.009505,               0.009505
                     17,                 1.4968,                 1.2848,                 1.4173,                0.65844,                0.38911,                0.42028,                0.26572,                 1.4929,                 1.2747,                 1.5299,               0.009472,               0.009472,               0.009472
                     18,                 1.4763,                 1.2406,                  1.396,                0.62247,                 0.4328,                0.46038,                0.29179,                 1.4951,                 1.2561,                  1.521,               0.009439,               0.009439,               0.009439
                     19,                  1.469,                 1.2236,                 1.3907,                0.59781,                0.42159,                0.44374,                0.27319,                 1.4848,                 1.2699,                 1.5078,               0.009406,               0.009406,               0.009406
                     20,                 1.4589,                  1.221,                 1.3852,                0.58546,                0.42323,                0.45506,                0.29342,                 1.4675,                 1.2101,                 1.4995,               0.009373,               0.009373,               0.009373
                     21,                 1.4575,                 1.2049,                 1.3798,                0.64857,                 0.4318,                 0.4797,                0.30573,                 1.4545,                 1.2084,                 1.4889,                0.00934,                0.00934,                0.00934
                     22,                  1.449,                 1.1883,                 1.3799,                 0.6426,                0.46143,                0.49221,                 0.3238,                 1.4524,                  1.205,                 1.4878,               0.009307,               0.009307,               0.009307
                     23,                 1.4412,                 1.1734,                 1.3743,                0.68204,                0.44411,                0.51292,                0.32762,                 1.4662,                 1.1934,                 1.4885,               0.009274,               0.009274,               0.009274
                     24,                  1.432,                 1.1608,                 1.3634,                0.66534,                 0.4539,                0.51415,                0.33549,                 1.4284,                 1.1538,                 1.4582,               0.009241,               0.009241,               0.009241
                     25,                 1.4277,                 1.1519,                 1.3541,                0.67255,                0.45527,                0.50189,                0.32707,                 1.4354,                 1.1667,                 1.4784,               0.009208,               0.009208,               0.009208
                     26,                 1.4202,                 1.1317,                 1.3608,                0.77312,                0.46448,                0.52394,                0.34458,                 1.4249,                 1.1463,                 1.4645,               0.009175,               0.009175,               0.009175
                     27,                 1.4145,                 1.1326,                 1.3556,                0.67613,                0.51005,                0.54111,                0.34374,                 1.4176,                 1.1451,                 1.4559,               0.009142,               0.009142,               0.009142
                     28,                 1.4095,                 1.1134,                 1.3472,                0.66727,                 0.5193,                0.54084,                0.34819,                 1.4184,                 1.1303,                 1.4492,               0.009109,               0.009109,               0.009109
                     29,                 1.4035,                 1.1063,                 1.3401,                0.73855,                0.49969,                0.55385,                0.36605,                 1.4055,                 1.1151,                  1.448,               0.009076,               0.009076,               0.009076
                     30,                 1.3953,                 1.0887,                 1.3358,                0.75927,                0.46817,                0.53608,                0.34923,                 1.3956,                 1.1056,                 1.4393,               0.009043,               0.009043,               0.009043
                     31,                  1.392,                 1.0798,                 1.3305,                0.67577,                0.50394,                0.54408,                0.37211,                 1.3927,                 1.0996,                 1.4346,                0.00901,                0.00901,                0.00901
                     32,                 1.3856,                 1.0745,                 1.3281,                 0.7167,                0.51528,                0.56389,                0.38024,                 1.3944,                 1.0926,                 1.4355,               0.008977,               0.008977,               0.008977
                     33,                 1.3879,                 1.0723,                 1.3249,                0.70873,                 0.5144,                0.56308,                0.37405,                 1.3888,                 1.0945,                 1.4297,               0.008944,               0.008944,               0.008944
                     34,                 1.3765,                 1.0669,                 1.3192,                0.73271,                0.51791,                0.57724,                0.39123,                 1.3703,                 1.0733,                 1.4172,               0.008911,               0.008911,               0.008911
                     35,                 1.3661,                 1.0485,                 1.3159,                0.64379,                0.52726,                0.55496,                0.36951,                 1.3733,                 1.0734,                 1.4164,               0.008878,               0.008878,               0.008878
                     36,                 1.3691,                 1.0377,                 1.3117,                0.70388,                0.51349,                0.57612,                 0.3833,                 1.3698,                 1.0545,                  1.412,               0.008845,               0.008845,               0.008845
                     37,                 1.3597,                 1.0325,                  1.305,                 0.7197,                0.53184,                0.57759,                0.38425,                 1.3601,                 1.0544,                 1.4056,               0.008812,               0.008812,               0.008812
                     38,                 1.3637,                  1.029,                 1.3102,                0.65265,                0.56338,                0.56941,                0.38058,                 1.3662,                 1.0516,                 1.4128,               0.008779,               0.008779,               0.008779
                     39,                 1.3616,                 1.0223,                 1.3033,                0.71586,                 0.5097,                0.56782,                0.38451,                 1.3689,                 1.0381,                 1.4116,               0.008746,               0.008746,               0.008746
                     40,                 1.3464,                 1.0061,                 1.2932,                0.69759,                0.53092,                 0.5766,                0.39453,                 1.3571,                 1.0357,                  1.405,               0.008713,               0.008713,               0.008713
                     41,                 1.3521,                 1.0064,                 1.3044,                0.71997,                0.55103,                0.58056,                0.39417,                 1.3625,                 1.0392,                 1.4075,                0.00868,                0.00868,                0.00868
