                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3806,                 1.0597,                  1.327,                0.77379,                0.51613,                0.58306,                 0.3994,                 1.3473,                 1.0266,                 1.3976,               0.008911,               0.008911,               0.008911
                     35,                 1.3735,                 1.0589,                 1.3174,                0.77843,                 0.5212,                0.59417,                0.41005,                 1.3383,                 1.0146,                  1.394,               0.008878,               0.008878,               0.008878
                     36,                 1.3675,                 1.0501,                 1.3165,                0.75838,                0.55336,                0.61116,                0.42326,                 1.3228,                 1.0031,                 1.3797,               0.008845,               0.008845,               0.008845
                     37,                 1.3685,                 1.0426,                 1.3125,                0.80401,                0.50628,                0.59424,                0.40652,                 1.3233,                 1.0093,                 1.3803,               0.008812,               0.008812,               0.008812
                     38,                 1.3543,                  1.034,                 1.3045,                0.76188,                0.51737,                0.60467,                0.41717,                 1.3236,                0.99644,                 1.3799,               0.008779,               0.008779,               0.008779
                     39,                 1.3577,                 1.0269,                 1.3045,                0.78232,                0.54221,                0.61655,                0.42927,                 1.3147,                0.99646,                 1.3707,               0.008746,               0.008746,               0.008746
                     40,                 1.3553,                 1.0191,                 1.3043,                0.76423,                 0.5415,                0.61589,                0.42599,                 1.3133,                0.99251,                 1.3702,               0.008713,               0.008713,               0.008713
                     41,                 1.3546,                 1.0162,                 1.3009,                0.72626,                0.54987,                0.61962,                0.42312,                  1.307,                0.97308,                  1.366,                0.00868,                0.00868,                0.00868
                     42,                  1.348,                 1.0123,                 1.2954,                0.75864,                0.55679,                0.62344,                0.42708,                 1.3054,                0.96968,                 1.3682,               0.008647,               0.008647,               0.008647
                     43,                 1.3413,                 1.0008,                 1.2955,                0.74159,                0.57879,                 0.6217,                0.43398,                 1.3052,                0.96423,                 1.3614,               0.008614,               0.008614,               0.008614
                     44,                 1.3317,                0.98703,                 1.2839,                0.77515,                0.60471,                0.63877,                0.44742,                 1.3003,                0.95326,                 1.3563,               0.008581,               0.008581,               0.008581
                     45,                 1.3313,                0.98861,                 1.2886,                0.77566,                0.58853,                0.64311,                 0.4505,                 1.2974,                0.95029,                 1.3546,               0.008548,               0.008548,               0.008548
                     46,                 1.3248,                 0.9827,                 1.2844,                0.73286,                0.62631,                0.64982,                0.45762,                 1.2926,                0.94239,                 1.3523,               0.008515,               0.008515,               0.008515
                     47,                  1.325,                0.97892,                  1.283,                0.79339,                 0.6018,                0.65363,                0.45881,                 1.2882,                 0.9362,                 1.3455,               0.008482,               0.008482,               0.008482
                     48,                 1.3274,                0.97397,                 1.2816,                0.78323,                0.59358,                0.64493,                0.45142,                 1.2827,                0.92834,                 1.3417,               0.008449,               0.008449,               0.008449
                     49,                 1.3196,                0.96125,                 1.2772,                0.79292,                  0.594,                0.64303,                0.45491,                 1.2743,                0.91802,                 1.3361,               0.008416,               0.008416,               0.008416
                     50,                 1.3076,                0.95515,                 1.2712,                0.79109,                 0.5956,                0.64987,                0.45522,                 1.2717,                 0.9154,                 1.3332,               0.008383,               0.008383,               0.008383
                     51,                 1.3093,                0.95113,                 1.2691,                0.79838,                0.59783,                 0.6495,                0.45752,                  1.274,                0.91638,                 1.3334,                0.00835,                0.00835,                0.00835
                     52,                 1.3004,                0.93917,                 1.2578,                0.81359,                0.59779,                0.65386,                0.46257,                 1.2736,                0.91441,                 1.3304,               0.008317,               0.008317,               0.008317
                     53,                 1.3054,                0.94443,                  1.263,                0.79982,                0.59991,                0.65733,                0.46605,                 1.2689,                0.91239,                 1.3276,               0.008284,               0.008284,               0.008284
                     54,                 1.3047,                0.94044,                 1.2666,                0.81337,                0.60114,                 0.6567,                 0.4666,                 1.2692,                0.90554,                 1.3256,               0.008251,               0.008251,               0.008251
                     55,                 1.3029,                0.93551,                 1.2611,                0.79146,                0.60342,                0.65673,                0.46682,                 1.2679,                0.90203,                 1.3226,               0.008218,               0.008218,               0.008218
                     56,                 1.2977,                0.92885,                 1.2583,                0.79773,                0.60495,                 0.6582,                0.46605,                 1.2653,                0.89927,                 1.3207,               0.008185,               0.008185,               0.008185
                     57,                 1.2912,                0.92133,                 1.2542,                0.76856,                0.61207,                 0.6614,                0.46755,                 1.2626,                0.90053,                 1.3198,               0.008152,               0.008152,               0.008152
                     58,                 1.2914,                0.92161,                 1.2538,                0.77032,                0.61135,                0.66042,                0.46758,                 1.2595,                0.89834,                  1.318,               0.008119,               0.008119,               0.008119
                     59,                 1.2883,                0.91348,                 1.2494,                 0.7425,                0.62521,                0.65961,                0.47038,                 1.2571,                0.89283,                 1.3166,               0.008086,               0.008086,               0.008086
